2024-04-08 23:27:22,777 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Configure stats pid to 69024
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Hayde\.config\wandb\settings
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Hayde\dev\RL-Rocket-League\wandb\settings
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'example2.py', 'program_abspath': 'c:\\Users\\Hayde\\dev\\RL-Rocket-League\\example2.py', 'program': 'c:\\Users\\Hayde\\dev\\RL-Rocket-League\\example2.py'}
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_init.py:_log_setup():521] Logging user logs to C:\Users\Hayde\dev\RL-Rocket-League\wandb\run-20240408_232722-vgr9pb4f\logs\debug.log
2024-04-08 23:27:22,778 INFO    MainThread:69024 [wandb_init.py:_log_setup():522] Logging internal logs to C:\Users\Hayde\dev\RL-Rocket-League\wandb\run-20240408_232722-vgr9pb4f\logs\debug-internal.log
2024-04-08 23:27:22,779 INFO    MainThread:69024 [wandb_init.py:init():561] calling init triggers
2024-04-08 23:27:22,779 INFO    MainThread:69024 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'n_proc': 32, 'min_inference_size': 29, 'timestep_limit': 1000000000, 'exp_buffer_size': 150000, 'ts_per_iteration': 50000, 'standardize_returns': True, 'standardize_obs': False, 'policy_layer_sizes': (256, 256, 256), 'critic_layer_sizes': (256, 256, 256), 'ppo_epochs': 1, 'ppo_batch_size': 50000, 'ppo_minibatch_size': 50000, 'ppo_ent_coef': 0.001, 'ppo_clip_range': 0.2, 'gae_lambda': 0.95, 'gae_gamma': 0.99, 'policy_lr': 0.0003, 'critic_lr': 0.0003, 'shm_buffer_size': 8192}
2024-04-08 23:27:22,779 INFO    MainThread:69024 [wandb_init.py:init():611] starting backend
2024-04-08 23:27:22,779 INFO    MainThread:69024 [wandb_init.py:init():615] setting up manager
2024-04-08 23:27:22,781 INFO    MainThread:69024 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-04-08 23:27:22,783 INFO    MainThread:69024 [wandb_init.py:init():623] backend started and connected
2024-04-08 23:27:22,787 INFO    MainThread:69024 [wandb_init.py:init():715] updated telemetry
2024-04-08 23:27:22,789 INFO    MainThread:69024 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-08 23:27:23,694 INFO    MainThread:69024 [wandb_run.py:_on_init():2357] communicating current version
2024-04-08 23:27:24,088 INFO    MainThread:69024 [wandb_run.py:_on_init():2366] got version response 
2024-04-08 23:27:24,089 INFO    MainThread:69024 [wandb_init.py:init():799] starting run threads in backend
2024-04-08 23:27:26,798 INFO    MainThread:69024 [wandb_run.py:_console_start():2335] atexit reg
2024-04-08 23:27:26,798 INFO    MainThread:69024 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-08 23:27:26,798 INFO    MainThread:69024 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-08 23:27:26,798 INFO    MainThread:69024 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-08 23:27:26,799 INFO    MainThread:69024 [wandb_init.py:init():842] run started, returning control to user process
2024-04-10 03:29:03,404 WARNING MsgRouterThr:69024 [router.py:message_loop():77] message_loop has been closed
